location,pit,depth_0,depth_1,horizon,h_name,sample_id,volume_ml,ad_mass,ad_bulk_density,moisture_content,od_mass,od_bulk_density
SCI,GDS,0,13,H1,A,SCI_GD_H1,390.000,422.828,1.084,0.063,396.234,1.016
SCI,GDS,13,27,H2,Bt1,SCI_GD_H2,250.000,370.415,1.482,0.080,340.726,1.363
SCI,GDS,27,37,H3_1,Bt2,SCI_GD_H3_1,207.000,322.345,1.557,0.089,293.698,1.419
SCI,GDS,37,48,H3_2,Bt2,SCI_GD_H3_2,420.000,655.849,1.562,0.089,597.640,1.423
SCI,GDS,48,69,H4_1,C,SCI_GD_H4_1,280.000,491.650,1.756,0.121,432.138,1.543
SCI,GDS,69,80,H4_2,C,SCI_GD_H4_2,235.000,389.769,1.659,0.108,347.483,1.479
sedgwick,WML,0,15,H1,A,WM_LR_H1,1490.000,1491.250,1.001,0.063,1397.480,0.938
sedgwick,WML,15,27,H2,A/Bk,WM_LR_H2,1600.000,1602.680,1.002,0.058,1509.272,0.943
sedgwick,WML,23,30,H3_1,A/Bkt1,WM_LR_H3_1,1115.000,1850.400,1.660,0.048,1761.004,1.579
sedgwick,WML,30,45,H3_2,Bkt1,WM_LR_H3_2,940.000,1564.800,1.665,0.051,1484.217,1.579
sedgwick,WML,45,60,H4_1,Btk2,WM_LR_H4_1,840.000,1107.090,1.318,0.050,1052.124,1.253
sedgwick,WML,60,75,H4_2,Btk2,WM_LR_H4_2,1070.000,1822.970,1.704,0.050,1731.822,1.619
sedgwick,WML,75,80,H5_1,Bk1,WM_LR_H5_1,390.000,635.250,1.629,0.048,605.000,1.551
sedgwick,WML,80,90,H6,Bk2,WM_LR_H6,480.000,883.220,1.840,0.046,842.666,1.756
sedgwick,WML,90,101,H7_1,C,WM_LR_H7_1,720.000,1222.860,1.698,0.052,1159.652,1.611
sedgwick,WML,101,110,H7_2,C,WM_LR_H7_2,750.000,1314.890,1.753,0.054,1243.518,1.658